bodyparts coords,toe x,toe y,toe likelihood,mtp x,mtp y,mtp likelihood,ankle x,ankle y,ankle likelihood,knee x,knee y,knee likelihood,hip x,hip y,hip likelihood,iliac crest x,iliac crest y,iliac crest likelihood
25,1606.3670189976517,636.3625369292025,0.9997618794441224,1579.9895055812665,627.9245481740734,0.9999920129776,1557.4689282571953,585.2957244434789,0.9999885559082032,1639.391594949814,555.5313680039164,0.9997795224189758,1605.0410325877353,502.71987861091856,0.9888777136802672,1583.6960360567914,467.7272808484734,0.9997901320457458
26,1622.618173941609,635.647931199933,0.9999539852142334,1596.188370958248,627.3324083223481,0.999987244606018,1573.8592046100134,585.1831975075985,0.9999983310699464,1656.1962587140704,555.1043777179409,0.9999669790267944,1621.8683579544102,502.2631055200555,0.9960291385650636,1600.6241097856232,467.1293747282817,0.9774031043052672
27,1638.607697941477,634.9062319358279,0.9715985655784608,1612.1683359566775,626.6674967716195,0.9951794147491456,1590.0006317967145,584.9822641461977,0.9999966621398926,1672.7982975822035,554.6610524051213,0.9999277591705322,1638.5203622619092,501.76350199409353,0.9983980059623718,1617.4362810710206,466.4994974217801,0.5850294232368469
28,1654.3448929841254,634.1491056448643,0.0016371695091947,1627.941892309612,625.935107408539,0.0052208513952791,1605.9032513713348,584.6886038890822,0.9999932050704956,1689.2065142120373,554.2080092311155,0.9999639987945556,1655.0085800633503,501.22105901605323,0.998651087284088,1634.141110578222,465.8418111507339,0.7543209195137024
29,1669.8457319939348,633.3870780248227,0.0030607022345066,1643.5273375055167,625.1407098016341,0.0711038708686828,1621.581217748915,584.3002821715459,0.9999985694885254,1705.432461690917,553.7508977762194,0.9999936819076538,1671.3454621504836,500.6367336755129,0.997315227985382,1650.7474042204935,465.16058272989955,0.9007206559181212
30,1685.1327657085037,632.6295311507236,0.1814949214458465,1658.948481449012,624.2901765359696,0.9981106519699096,1637.0527714212453,583.8179466867003,0.9999994039535522,1721.4903756951564,553.2944214972512,0.9996814727783204,1687.5442935181877,500.0125452654749,0.9968816041946412,1667.264170515492,464.46021555363313,0.9959455132484436
31,1700.2347569894828,631.8847397738534,0.0401146970689296,1674.2341169429992,623.3900022565932,0.9484877586364746,1652.3400552717824,583.2449374777156,0.999934196472168,1737.3969953504538,552.8423934130369,0.9996670484542848,1703.6190762716728,499.35164344159114,0.998505711555481,1683.70056138902,463.7452813882625,0.9993720650672911
32,1715.1860426763888,631.1599397274691,0.008456839248538,1689.4172642286878,622.4474967847643,0.9964905381202698,1667.4687717796007,582.5873016553619,0.9999938011169434,1753.1712736666661,552.3978199334321,0.9987170696258544,1719.5843773034355,498.6583424251073,0.9968026876449584,1700.065795421488,463.02054714300596,0.9999083280563354
33,1730.0256378335341,630.4614205191482,0.0095196701586246,1704.534212438758,621.470936153525,0.9945460557937622,1682.4676877450916,581.8537079358604,0.9999806880950928,1768.8339851619182,551.963005826006,0.9970716238021852,1735.4551434678317,497.9381164519738,0.9994814991950988,1716.3690643554476,462.29099208125996,0.9998350143432616
34,1744.796111153117,629.7946336752284,0.9170874357223512,1719.623392296596,620.4696577331264,0.6643964052200317,1697.3680015335954,581.0552607450929,0.9999947547912598,1784.4072444858598,551.5396727835075,0.9964524507522584,1751.246489576309,497.1975531983455,0.9989687204360962,1732.619425359803,461.5618114977333,0.9998308420181274
35,1759.542272727887,629.1643082423798,0.9750251173973083,1734.7241241427869,619.4540886447177,0.9828962683677672,1712.2025952538327,580.2052181984394,0.9999736547470092,1799.9139551499077,551.1290839375837,0.9774850010871888,1766.9734666624743,496.4442636898097,0.99396014213562,1748.8256829817838,460.83840370297975,0.999852418899536
36,1774.3097258995429,628.5745649919219,0.7937147617340088,1749.8752929151967,618.4357002403272,0.9988644123077391,1727.0052004044703,579.3186226256105,0.999975085258484,1815.3772116068733,550.7321669484751,0.9086959958076476,1782.6508195166155,495.68674915246845,0.9982732534408568,1764.9962658349052,460.1263381857809,0.999688982963562
37,1789.143343016384,628.0290212827557,0.91924250125885,1765.1140066944722,617.4268853938795,0.999857783317566,1741.8095100811988,578.4118562746227,0.9999996423721312,1830.8196807152478,550.3496289492144,0.995431661605835,1798.2927434144744,494.934227297754,0.9840615391731262,1781.1391038161892,459.43130401142537,0.9996905326843262
38,1804.0857303312685,627.5308792324428,0.9996098875999452,1780.474297615394,616.4407595256052,0.9999774694442748,1756.6482736869784,577.5021382363288,0.9999969005584716,1846.2629899791716,549.9820575795769,0.9978561997413636,1813.9126502647737,494.1964225485497,0.9993662238121032,1797.261511989884,458.7590387946747,0.9980904459953308
39,1819.1757496111195,627.082990880247,0.9995964169502258,1795.985923224276,615.4908904856984,0.9999949932098388,1771.5524111680047,576.606981351938,0.9999985694885254,1861.727149851203,549.6300035394853,0.9998847246170044,1829.5229541120018,493.48332660418004,0.9987088441848756,1813.3700872140485,458.11523988500903,0.9911742210388184
40,1834.4471630655219,626.6878954652419,0.999990940093994,1811.6733227533598,614.5909664633456,0.9999943971633912,1786.55018312337,575.7436298051243,0.9999995231628418,1877.2300358650368,549.2940414442288,0.9998770952224731,1845.1348851197363,492.804937393914,0.5423204302787781,1829.4706231418606,457.5054606347532,0.9250259399414062
41,1849.9274638444454,626.3478258055368,0.9999955892562866,1827.5547764392384,613.754414776354,0.9999427795410156,1801.6664507923208,574.928499192913,0.9999955892562866,1892.7869535356554,548.9748071893146,0.9997827410697936,1860.7583399066766,492.1709857691029,0.5729283094406128,1845.5680484462464,456.9349956971231,0.9782058000564576
42,1865.6369467321488,626.0646829900803,0.9999830722808838,1843.6418072202991,612.9939875534116,0.9998770952224731,1816.9220560573663,574.1766410785776,0.9999849796295166,1908.4103049895098,548.6730114438429,0.9994331002235411,1876.4017745025976,491.5906601277474,0.9841095805168152,1861.6663920578112,456.4087601304037,0.9979257583618164
43,1881.5880631331593,625.8399810439864,0.9997740387916564,1859.9388533209742,612.3213327779367,0.9998277425765992,1832.3333464185848,573.5012533423478,0.9999911785125732,1924.1093713836883,548.3894302052838,0.9775530099868774,1892.0721443259536,491.07233947491795,0.9999219179153442,1877.7687779443468,455.93116759106607,0.9967973828315736
